"Id";"Name";"Order";"CategoryId";"Country";"Region";"IsActive";"CountryCode";"Language";"IsMajor";"IsInternational"
"sr:tournament:345";"Super Cup";1000;"sr:category:44";"Portugal";"other";1;"";"en-US";0;0
"sr:tournament:346";"Community Shield";82;"sr:category:1";"England";"other";1;"ENG";"en-US";1;0
"sr:tournament:347";"Scottish Cup";1000;"sr:category:22";"Scotland";"other";1;"";"en-US";0;0
"sr:tournament:348";"Macedonia Cup";1000;"sr:category:159";"North Macedonia";"other";1;"";"en-US";0;0
"sr:tournament:35";"Bundesliga";19;"sr:category:30";"Germany";"eu";1;"DEU";"en-US";1;0
"sr:tournament:351";"Super Cup";1000;"sr:category:5";"Norway";"other";1;"";"en-US";0;0
"sr:tournament:355";"Romania Cup";1000;"sr:category:77";"Romania";"other";1;"";"en-US";0;0
"sr:tournament:356";"Super Cup";1000;"sr:category:92";"Estonia";"other";1;"";"en-US";0;0
"sr:tournament:357";"Club World Cup";1000;"sr:category:393";"International Clubs";"other";1;"";"en-US";0;1
"sr:tournament:358";"Premier Soccer League";1000;"sr:category:322";"South Africa";"other";1;"";"en-US";0;0
"sr:tournament:36";"Premiership";1000;"sr:category:22";"Scotland";"other";1;"";"en-US";0;0
"sr:tournament:365";"Bulgarian Cup";1000;"sr:category:78";"Bulgaria";"other";1;"";"en-US";0;0
"sr:tournament:367";"League Cup";1000;"sr:category:131";"Wales";"other";0;"";"en-US";0;0
"sr:tournament:37";"Eredivisie";28;"sr:category:35";"Netherlands";"eu";1;"NLD";"en-US";1;0
"sr:tournament:370";"Israel Cup";1000;"sr:category:66";"Israel";"other";1;"";"en-US";0;0
"sr:tournament:372";"Paulista, Serie A1";1000;"sr:category:13";"Brazil";"other";1;"";"en-US";0;0
"sr:tournament:373";"Copa do Brasil";1000;"sr:category:13";"Brazil";"other";0;"";"en-US";0;0
"sr:tournament:374";"Baiano";1000;"sr:category:13";"Brazil";"other";0;"";"en-US";0;0
"sr:tournament:375";"Greece Cup";1000;"sr:category:67";"Greece";"other";1;"";"en-US";0;0
"sr:tournament:376";"Catarinense";1000;"sr:category:13";"Brazil";"other";0;"";"en-US";0;0
"sr:tournament:377";"Gaucho";1000;"sr:category:13";"Brazil";"other";0;"";"en-US";0;0
"sr:tournament:378";"Cearense";1000;"sr:category:13";"Brazil";"other";0;"";"en-US";0;0
"sr:tournament:379";"Mineiro";1000;"sr:category:13";"Brazil";"other";0;"";"en-US";0;0
"sr:tournament:38";"First Division A";29;"sr:category:33";"Belgium";"eu";1;"BEL";"en-US";1;0
"sr:tournament:380";"Pernambucano";1000;"sr:category:13";"Brazil";"other";0;"";"en-US";0;0
"sr:tournament:381";"Goiano";1000;"sr:category:13";"Brazil";"other";0;"";"en-US";0;0
"sr:tournament:382";"Paranaense";1000;"sr:category:13";"Brazil";"other";0;"";"en-US";0;0
"sr:tournament:384";"Copa Libertadores";44;"sr:category:393";"International Clubs";"am";1;"COP";"en-US";1;1
"sr:tournament:388";"FAW Welsh Cup";1000;"sr:category:131";"Wales";"other";1;"";"en-US";0;0
"sr:tournament:39";"Superligaen";1000;"sr:category:8";"Denmark";"other";1;"";"en-US";0;0
"sr:tournament:390";"Brasileiro Serie B";1000;"sr:category:13";"Brazil";"other";1;"";"en-US";0;0
"sr:tournament:392";"East Asian Championship";66;"sr:category:4";"International";"intl";1;"AFC";"en-US";1;1
"sr:tournament:393";"Super Cup";1000;"sr:category:52";"Japan";"other";1;"";"en-US";0;0
"sr:tournament:395";"2nd Div, Ostra Gotaland";1000;"sr:category:9";"Sweden";"other";0;"";"en-US";0;0
"sr:tournament:397";"Super Cup";1000;"sr:category:21";"Russia";"other";1;"";"en-US";0;0
"sr:tournament:399";"Schweizer Cup";1000;"sr:category:25";"Switzerland";"other";1;"";"en-US";0;0
"sr:tournament:40";"Allsvenskan";1000;"sr:category:9";"Sweden";"other";1;"";"en-US";0;0
